"","VTD","D","G","L","R","W","winner","winningvotes","totalvotes","winningpercent","dpercent","gpercent","lpercent","rpercent","wpercent"
"119","0052",6885,116,584,8627,133,"R",8627,16212,0.53,0.42,0.01,0.04,0.53,0.01
"120","0053",8301,133,530,5899,108,"D",8301,14863,0.56,0.56,0.01,0.04,0.4,0.01
"121","0054",7280,145,533,7188,137,"D",7280,15146,0.48,0.48,0.01,0.04,0.47,0.01
"122","0055",6774,103,521,6711,145,"D",6774,14109,0.48,0.48,0.01,0.04,0.48,0.01
"123","0056",6967,180,711,12540,256,"R",12540,20398,0.61,0.34,0.01,0.03,0.61,0.01
"124","0057",5601,115,473,6821,126,"R",6821,13010,0.52,0.43,0.01,0.04,0.52,0.01
"125","0058",7354,125,691,8516,187,"R",8516,16686,0.51,0.44,0.01,0.04,0.51,0.01
"126","0059",8953,121,696,9203,204,"R",9203,18973,0.49,0.47,0.01,0.04,0.49,0.01
"127","005A",62,1,2,92,0,"R",92,157,0.59,0.39,0.01,0.01,0.59,0
"128","005C",625,8,58,2333,8,"R",2333,3024,0.77,0.21,0,0.02,0.77,0
"129","0060",7314,140,572,8925,115,"R",8925,16951,0.53,0.43,0.01,0.03,0.53,0.01
"130","0061",6725,117,495,8846,168,"R",8846,16183,0.55,0.42,0.01,0.03,0.55,0.01
"131","0062",7975,147,643,8758,173,"R",8758,17523,0.5,0.46,0.01,0.04,0.5,0.01
"132","0063",7458,105,604,11281,185,"R",11281,19448,0.58,0.38,0.01,0.03,0.58,0.01
"133","0064",4773,81,247,3634,55,"D",4773,8735,0.55,0.55,0.01,0.03,0.42,0.01
"134","0065",4229,91,316,6999,59,"R",6999,11635,0.6,0.36,0.01,0.03,0.6,0.01
"135","0066",4621,86,329,7454,81,"R",7454,12490,0.6,0.37,0.01,0.03,0.6,0.01
"136","0067",8539,174,488,7833,135,"D",8539,17034,0.5,0.5,0.01,0.03,0.46,0.01
"137","0068",6474,137,334,5457,86,"D",6474,12402,0.52,0.52,0.01,0.03,0.44,0.01
"138","0069",7721,160,560,8441,199,"R",8441,16882,0.5,0.46,0.01,0.03,0.5,0.01
"139","006A",341,8,36,1031,4,"R",1031,1416,0.73,0.24,0.01,0.03,0.73,0
"140","006B",281,1,29,1233,11,"R",1233,1544,0.8,0.18,0,0.02,0.8,0.01
"141","0070",6019,84,431,5364,122,"D",6019,11898,0.51,0.51,0.01,0.04,0.45,0.01
"142","0071",6475,96,601,6945,162,"R",6945,14117,0.49,0.46,0.01,0.04,0.49,0.01
"143","0071A",41,0,1,12,0,"D",41,54,0.76,0.76,0,0.02,0.22,0
"144","0071B",15,0,1,4,0,"D",15,20,0.75,0.75,0,0.05,0.2,0
"145","0072",5427,95,377,6475,87,"R",6475,12374,0.52,0.44,0.01,0.03,0.52,0.01
"146","0073",5034,87,300,4882,69,"D",5034,10303,0.49,0.49,0.01,0.03,0.47,0.01
"147","0074",4832,102,358,6391,67,"R",6391,11683,0.55,0.41,0.01,0.03,0.55,0.01
"148","0075",5712,86,458,8465,156,"R",8465,14721,0.58,0.39,0.01,0.03,0.58,0.01
"149","0076",4188,76,330,6417,110,"R",6417,11011,0.58,0.38,0.01,0.03,0.58,0.01
"150","0077",5229,77,264,5157,62,"D",5229,10727,0.49,0.49,0.01,0.02,0.48,0.01
"151","0078",6240,95,433,7851,127,"R",7851,14619,0.54,0.43,0.01,0.03,0.54,0.01
"152","0079",5068,87,309,5858,100,"R",5858,11322,0.52,0.45,0.01,0.03,0.52,0.01
"153","0080",6121,98,503,8399,191,"R",8399,15121,0.56,0.4,0.01,0.03,0.56,0.01
"154","0081",5908,93,417,7816,167,"R",7816,14234,0.55,0.42,0.01,0.03,0.55,0.01
"155","0082",5111,95,418,7820,102,"R",7820,13444,0.58,0.38,0.01,0.03,0.58,0.01
"156","0083",3212,71,210,4781,95,"R",4781,8274,0.58,0.39,0.01,0.03,0.58,0.01
"157","0083A",1435,21,64,744,21,"D",1435,2264,0.63,0.63,0.01,0.03,0.33,0.01
"158","0083B",26,1,1,14,1,"D",26,42,0.62,0.62,0.02,0.02,0.33,0.02
"159","0084",4658,84,307,4499,85,"D",4658,9548,0.49,0.49,0.01,0.03,0.47,0.01
"160","0085",5262,82,200,3578,79,"D",5262,9122,0.58,0.58,0.01,0.02,0.39,0.01
"161","0086",4652,88,448,5941,106,"R",5941,11129,0.53,0.42,0.01,0.04,0.53,0.01
"162","0087",6801,86,535,6568,174,"D",6801,13990,0.49,0.49,0.01,0.04,0.47,0.01
"163","0088",4252,83,324,3778,106,"D",4252,8437,0.5,0.5,0.01,0.04,0.45,0.01
"164","0089",3467,47,206,2384,51,"D",3467,6104,0.57,0.57,0.01,0.03,0.39,0.01
"165","0089A",575,12,101,2920,52,"R",2920,3608,0.81,0.16,0,0.03,0.81,0.01
"166","0089B",7,0,1,35,1,"R",35,43,0.81,0.16,0,0.02,0.81,0.02
"167","0089C",0,0,0,7,0,"R",7,7,1,0,0,0,1,0
"168","008A",262,4,4,170,2,"D",262,440,0.6,0.6,0.01,0.01,0.39,0
"169","008B",412,7,26,1525,3,"R",1525,1970,0.77,0.21,0,0.01,0.77,0
"170","008C",146,2,14,678,7,"R",678,840,0.81,0.17,0,0.02,0.81,0.01
"171","0090",4732,75,316,6226,133,"R",6226,11349,0.55,0.42,0.01,0.03,0.55,0.01
"172","0091",2817,74,301,3611,77,"R",3611,6803,0.53,0.41,0.01,0.04,0.53,0.01
"173","0092",2837,78,221,3176,70,"R",3176,6312,0.5,0.45,0.01,0.04,0.5,0.01
"174","0092A",482,7,52,535,1,"R",535,1076,0.5,0.45,0.01,0.05,0.5,0
"175","0092B",22,0,2,25,0,"R",25,49,0.51,0.45,0,0.04,0.51,0
"176","0093",2892,42,127,1258,20,"D",2892,4319,0.67,0.67,0.01,0.03,0.29,0
"177","0094",4048,59,222,3229,75,"D",4048,7558,0.54,0.54,0.01,0.03,0.43,0.01
"178","0095",4796,77,311,3406,69,"D",4796,8590,0.56,0.56,0.01,0.04,0.4,0.01
"179","0096",4085,58,167,1989,49,"D",4085,6299,0.65,0.65,0.01,0.03,0.32,0.01
"180","0097",2142,46,170,3303,42,"R",3303,5661,0.58,0.38,0.01,0.03,0.58,0.01
"181","0097A",720,19,22,266,6,"D",720,1027,0.7,0.7,0.02,0.02,0.26,0.01
"182","0097B",44,1,1,16,0,"D",44,62,0.71,0.71,0.02,0.02,0.26,0
"183","0098",4932,90,203,3786,58,"D",4932,9011,0.55,0.55,0.01,0.02,0.42,0.01
"184","0099",3151,48,121,1261,15,"D",3151,4581,0.69,0.69,0.01,0.03,0.28,0
"185","009N",136,1,13,534,0,"R",534,684,0.78,0.2,0,0.02,0.78,0
"186","009S",99,3,20,489,0,"R",489,611,0.8,0.16,0,0.03,0.8,0
"187","01-1",278,5,22,1470,6,"R",1470,1775,0.83,0.16,0,0.01,0.83,0
"188","01-2",203,0,19,1367,1,"R",1367,1589,0.86,0.13,0,0.01,0.86,0
"189","01-3",159,3,15,1093,0,"R",1093,1270,0.86,0.13,0,0.01,0.86,0
"190","01-4",31,2,6,395,2,"R",395,434,0.91,0.07,0,0.01,0.91,0
"191","0100",5738,95,335,5301,57,"D",5738,11469,0.5,0.5,0.01,0.03,0.46,0
"192","0101",17417,396,1772,39136,384,"R",39136,58721,0.67,0.3,0.01,0.03,0.67,0.01
"193","0101A",261,2,24,704,1,"R",704,991,0.71,0.26,0,0.02,0.71,0
"194","0101B",263,6,27,487,6,"R",487,783,0.62,0.34,0.01,0.03,0.62,0.01
"195","0102",12160,269,1142,24457,300,"R",24457,38028,0.64,0.32,0.01,0.03,0.64,0.01
"196","0102A",184,4,25,425,5,"R",425,638,0.67,0.29,0.01,0.04,0.67,0.01
"197","0102B",3,0,0,7,0,"R",7,10,0.7,0.3,0,0,0.7,0
"198","0103",10624,214,1078,23113,242,"R",23113,35029,0.66,0.3,0.01,0.03,0.66,0.01
"199","0104",10077,221,904,17961,274,"R",17961,29163,0.62,0.35,0.01,0.03,0.62,0.01
"200","0105",10925,224,891,16652,229,"R",16652,28692,0.58,0.38,0.01,0.03,0.58,0.01
"201","0105A",640,18,93,2526,13,"R",2526,3277,0.77,0.2,0.01,0.03,0.77,0
"202","0105B",13,0,1,48,0,"R",48,62,0.77,0.21,0,0.02,0.77,0
"203","0106",10826,247,921,17341,246,"R",17341,29335,0.59,0.37,0.01,0.03,0.59,0.01
"204","0107",6553,145,558,12320,167,"R",12320,19576,0.63,0.33,0.01,0.03,0.63,0.01
"205","0108",5983,114,530,11769,113,"R",11769,18396,0.64,0.33,0.01,0.03,0.64,0.01
"206","0108A",1094,20,107,1637,44,"R",1637,2858,0.57,0.38,0.01,0.04,0.57,0.02
"207","0108B",15,1,3,89,2,"R",89,108,0.82,0.14,0.01,0.03,0.82,0.02
"208","0109",8072,186,684,13157,170,"R",13157,22099,0.6,0.37,0.01,0.03,0.6,0.01
"209","0110",9507,169,889,16039,245,"R",16039,26604,0.6,0.36,0.01,0.03,0.6,0.01
"210","0111",9087,244,810,13176,216,"R",13176,23317,0.57,0.39,0.01,0.03,0.57,0.01
"211","0112",7072,151,523,8124,108,"R",8124,15870,0.51,0.45,0.01,0.03,0.51,0.01
"212","0113",10537,227,857,9667,169,"D",10537,21288,0.49,0.49,0.01,0.04,0.45,0.01
"213","0114",5526,100,461,8992,114,"R",8992,15079,0.6,0.37,0.01,0.03,0.6,0.01
"214","0114A",0,0,0,8,0,"R",8,8,1,0,0,0,1,0
"215","0114B",1,0,1,14,0,"R",14,16,0.88,0.06,0,0.06,0.88,0
"216","0115",6050,116,352,6258,86,"R",6258,12776,0.49,0.47,0.01,0.03,0.49,0.01
"217","0116",7021,115,584,9239,135,"R",9239,16959,0.54,0.41,0.01,0.03,0.54,0.01
"218","0117",7226,158,518,6640,169,"D",7226,14542,0.5,0.5,0.01,0.04,0.46,0.01
"219","0118",6272,114,426,6300,162,"R",6300,13112,0.48,0.48,0.01,0.03,0.48,0.01
"220","0119",6865,134,666,10768,196,"R",10768,18433,0.58,0.37,0.01,0.04,0.58,0.01
"221","011B",108,2,10,574,4,"R",574,694,0.83,0.16,0,0.01,0.83,0.01
"222","0120",7673,165,632,9224,171,"R",9224,17694,0.52,0.43,0.01,0.04,0.52,0.01
"223","0121",4064,69,332,5847,68,"R",5847,10312,0.57,0.39,0.01,0.03,0.57,0.01
"224","0122",8086,165,559,7386,185,"D",8086,16196,0.5,0.5,0.01,0.03,0.46,0.01
"225","0123",6421,139,616,6524,127,"R",6524,13700,0.48,0.47,0.01,0.04,0.48,0.01
"226","0124",9951,211,629,9533,143,"D",9951,20324,0.49,0.49,0.01,0.03,0.47,0.01
"227","0125",7915,141,699,10124,144,"R",10124,18879,0.54,0.42,0.01,0.04,0.54,0.01
"228","0126",6798,154,424,5946,82,"D",6798,13322,0.51,0.51,0.01,0.03,0.45,0.01
"229","0126A",1108,12,140,1539,66,"R",1539,2799,0.55,0.4,0,0.05,0.55,0.02
"230","0127",3975,83,362,5544,90,"R",5544,9964,0.56,0.4,0.01,0.04,0.56,0.01
"231","0128",4278,71,386,5220,114,"R",5220,9955,0.52,0.43,0.01,0.04,0.52,0.01
"232","0129",7895,174,565,6648,164,"D",7895,15282,0.52,0.52,0.01,0.04,0.44,0.01
"233","012A",21,0,1,23,0,"R",23,45,0.51,0.47,0,0.02,0.51,0
"234","0130",6903,102,373,5673,148,"D",6903,13051,0.53,0.53,0.01,0.03,0.43,0.01
"235","0131",2772,47,227,3484,96,"R",3484,6530,0.53,0.42,0.01,0.03,0.53,0.01
"236","0132",5625,81,197,1678,66,"D",5625,7581,0.74,0.74,0.01,0.03,0.22,0.01
"237","0133",5863,90,294,2582,90,"D",5863,8829,0.66,0.66,0.01,0.03,0.29,0.01
"238","0134",4555,91,234,3797,117,"D",4555,8677,0.52,0.52,0.01,0.03,0.44,0.01
"239","0135",9582,170,595,6651,189,"D",9582,16998,0.56,0.56,0.01,0.04,0.39,0.01
"240","0136",4256,82,227,2447,54,"D",4256,7012,0.61,0.61,0.01,0.03,0.35,0.01
"241","0137",5359,121,494,5376,122,"R",5376,11350,0.47,0.47,0.01,0.04,0.47,0.01
"242","0138",3458,67,270,3075,78,"D",3458,6870,0.5,0.5,0.01,0.04,0.45,0.01
"243","0139",5676,125,356,3227,85,"D",5676,9384,0.6,0.6,0.01,0.04,0.34,0.01
"244","013T",385,3,16,515,2,"R",515,919,0.56,0.42,0,0.02,0.56,0
"245","0140",5831,105,490,7380,182,"R",7380,13806,0.53,0.42,0.01,0.04,0.53,0.01
"246","0141",2413,51,224,3532,100,"R",3532,6220,0.57,0.39,0.01,0.04,0.57,0.02
"247","0142",3207,53,210,2834,47,"D",3207,6304,0.51,0.51,0.01,0.03,0.45,0.01
"248","0143",1815,26,108,2308,53,"R",2308,4257,0.54,0.43,0.01,0.03,0.54,0.01
"249","0143B",151,0,11,241,2,"R",241,403,0.6,0.37,0,0.03,0.6,0
"250","0143C",636,4,50,1009,9,"R",1009,1699,0.59,0.37,0,0.03,0.59,0.01
"251","0144",3574,64,206,3167,69,"D",3574,7011,0.51,0.51,0.01,0.03,0.45,0.01
"252","0145",5435,116,346,2866,95,"D",5435,8763,0.62,0.62,0.01,0.04,0.33,0.01
"253","0146",8245,176,642,6583,175,"D",8245,15646,0.53,0.53,0.01,0.04,0.42,0.01
"254","0147",4431,90,297,3263,97,"D",4431,8081,0.55,0.55,0.01,0.04,0.4,0.01
"255","0148",5238,86,327,3635,81,"D",5238,9286,0.56,0.56,0.01,0.04,0.39,0.01
"256","0149",5631,105,415,4521,127,"D",5631,10672,0.53,0.53,0.01,0.04,0.42,0.01
"257","014A",26,1,2,125,0,"R",125,154,0.81,0.17,0.01,0.01,0.81,0
"258","0150",3841,79,255,2604,53,"D",3841,6779,0.57,0.57,0.01,0.04,0.38,0.01
"259","0151",4726,90,308,3311,69,"D",4726,8435,0.56,0.56,0.01,0.04,0.39,0.01
"260","0152",7036,151,388,3909,105,"D",7036,11484,0.61,0.61,0.01,0.03,0.34,0.01
"261","0153",5487,90,303,2532,92,"D",5487,8412,0.65,0.65,0.01,0.04,0.3,0.01
"262","0154",4701,81,295,3032,68,"D",4701,8109,0.58,0.58,0.01,0.04,0.37,0.01
"263","0155",3362,39,304,5972,107,"R",5972,9677,0.62,0.35,0,0.03,0.62,0.01
"264","0156",7529,161,330,2139,109,"D",7529,10159,0.74,0.74,0.02,0.03,0.21,0.01
"265","0157",3910,54,176,2279,70,"D",3910,6419,0.61,0.61,0.01,0.03,0.36,0.01
"266","0158",5677,79,224,2381,86,"D",5677,8361,0.68,0.68,0.01,0.03,0.28,0.01
"267","0159",3235,64,222,3029,64,"D",3235,6550,0.49,0.49,0.01,0.03,0.46,0.01
"268","0160",3669,65,293,2085,79,"D",3669,6112,0.6,0.6,0.01,0.05,0.34,0.01
"269","0161",2390,30,108,900,23,"D",2390,3428,0.7,0.7,0.01,0.03,0.26,0.01
"270","0162",2835,63,166,1080,47,"D",2835,4144,0.68,0.68,0.02,0.04,0.26,0.01
"271","0163",2727,47,153,1753,50,"D",2727,4680,0.58,0.58,0.01,0.03,0.37,0.01
"272","0164",3914,74,118,1346,27,"D",3914,5452,0.72,0.72,0.01,0.02,0.25,0
"273","0165",3014,61,236,3211,52,"R",3211,6522,0.49,0.46,0.01,0.04,0.49,0.01
"274","0166",3007,60,255,3171,81,"R",3171,6493,0.49,0.46,0.01,0.04,0.49,0.01
"275","0167",3902,62,282,4060,80,"R",4060,8306,0.49,0.47,0.01,0.03,0.49,0.01
"276","0168",1770,35,122,1316,40,"D",1770,3243,0.55,0.55,0.01,0.04,0.41,0.01
"277","0169",4116,54,214,1407,68,"D",4116,5791,0.71,0.71,0.01,0.04,0.24,0.01
"278","0170",2449,67,236,2901,64,"R",2901,5653,0.51,0.43,0.01,0.04,0.51,0.01
"279","0171",4231,64,237,2409,78,"D",4231,6941,0.61,0.61,0.01,0.03,0.35,0.01
"280","0172",3037,57,217,2503,90,"D",3037,5814,0.52,0.52,0.01,0.04,0.43,0.02
"281","0173",1845,23,140,2643,46,"R",2643,4651,0.57,0.4,0,0.03,0.57,0.01
"282","0174",2071,37,196,2780,57,"R",2780,5084,0.55,0.41,0.01,0.04,0.55,0.01
"283","0175",1986,29,127,1580,46,"D",1986,3722,0.53,0.53,0.01,0.03,0.42,0.01
